archetype,memory_mb,image_size_mb,invocation_frequency_numeric,traffic_cv,duration_tier_numeric,lambda_cost,fargate_cost,cost_diff,lambda_cheaper
batch-transform,512,50,1000,0.5,500,0.000106,0.037028,-0.036921999999999996,1
batch-transform,512,50,1000,0.5,2000,9.6e-05,0.037028,-0.036932,1
batch-transform,512,50,1000,0.5,5000,9.9e-05,0.037028,-0.036929,1
batch-transform,512,50,1000,2.0,500,0.000135,0.037028,-0.036892999999999995,1
batch-transform,512,50,1000,2.0,2000,0.000165,0.037028,-0.036863,1
batch-transform,512,50,1000,2.0,5000,0.00015,0.037028,-0.036878,1
batch-transform,512,50,1000,4.0,500,0.00017,0.037028,-0.036858,1
batch-transform,512,50,1000,4.0,2000,0.000168,0.037028,-0.03686,1
batch-transform,512,50,1000,4.0,5000,0.000179,0.037028,-0.036849,1
batch-transform,512,50,10000,0.5,500,0.000604,0.037028,-0.036424,1
batch-transform,512,50,10000,0.5,2000,0.000606,0.037028,-0.036421999999999996,1
batch-transform,512,50,10000,0.5,5000,0.000606,0.037028,-0.036421999999999996,1
batch-transform,512,50,10000,2.0,500,0.000557,0.037028,-0.036470999999999996,1
batch-transform,512,50,10000,2.0,2000,0.000497,0.037028,-0.036531,1
batch-transform,512,50,10000,2.0,5000,0.000687,0.037028,-0.036341,1
batch-transform,512,50,10000,4.0,500,0.000597,0.037028,-0.036431,1
batch-transform,512,50,10000,4.0,2000,0.000607,0.037028,-0.036420999999999995,1
batch-transform,512,50,10000,4.0,5000,0.000596,0.037028,-0.036432,1
batch-transform,512,50,50000,0.5,500,0.00271,0.037028,-0.034318,1
batch-transform,512,50,50000,0.5,2000,0.002762,0.037028,-0.034266,1
batch-transform,512,50,50000,0.5,5000,0.002749,0.037028,-0.034279,1
batch-transform,512,50,50000,2.0,500,0.00279,0.037028,-0.034238,1
batch-transform,512,50,50000,2.0,2000,0.002734,0.037028,-0.034294,1
batch-transform,512,50,50000,2.0,5000,0.002728,0.037028,-0.0343,1
batch-transform,512,50,50000,4.0,500,0.002976,0.037028,-0.034052,1
batch-transform,512,50,50000,4.0,2000,0.002661,0.037028,-0.034366999999999995,1
batch-transform,512,50,50000,4.0,5000,0.003056,0.037028,-0.033971999999999995,1
batch-transform,512,50,100000,0.5,500,0.005519,0.037028,-0.031508999999999995,1
batch-transform,512,50,100000,0.5,2000,0.005388,0.037028,-0.03164,1
batch-transform,512,50,100000,0.5,5000,0.005497,0.037028,-0.031530999999999997,1
batch-transform,512,50,100000,2.0,500,0.005365,0.037028,-0.031663,1
